STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY,B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year,WQI
1156,"PAMBA AT CHENGANNUR, KERALA",KERALA,27.2,5.2,6.8,55.0,0.6,0.7,171.0,313,2014,71.14
1341,"PAMBA AT THAKAZHY, KERALA",KERALA,28.1,4.8,6.8,86.0,0.7,0.8,208.0,332,2014,81.99
1565,"PAMBA DOWN, KERALA",KERALA,28.3,3.9,6.9,62.0,0.5,0.7,155.0,284,2014,66.25
17,"PERIYAR NEAR ALWAYENANELOOR, KERALA",KERALA,28.1,5.0,6.9,3185.0,1.8,0.4,290.0,667,2014,441.22
18,"PERIYAR AT KALADY, KERALA",KERALA,27.7,7.0,7.0,36.0,1.1,0.2,276.0,541,2014,110.41
1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,28.0,6.3,6.9,64.0,1.2,0.3,381.0,815,2014,159.08
2333,RIVER PERIYAR AT MUPPATHADAM,KERALA,28.2,6.2,6.9,86.0,1.3,0.2,372.0,1007,2014,181.07
2334,RIVER PERIYAR AT PATHALAM,KERALA,28.0,5.7,6.8,2640.0,1.9,0.5,385.0,759,2014,411.18
2335,R PERIYAR AT KALAMASSERY,KERALA,28.1,5.7,6.9,53.0,3.1,0.4,574.0,1205,2014,230.11
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,28.1,6.6,7.1,2007.0,1.3,0.2,356.0,785,2014,346.41
3468,"PERIYAR AT KWA INTAKENAN ALUVA, ERNAKULAM",KERALA,28.1,6.6,7.0,46.0,1.3,0.3,228.0,472,2014,96.68
2300,R PERUVAMBA AT CHANDAPPURA,KERALA,27.3,6.5,6.5,43.0,0.9,0.4,87.0,188,2014,43.75
2303,R PULLUR AT PULLUR BR.,KERALA,28.3,6.7,6.3,54.0,0.9,0.1,136.0,610,2014,98.74
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,29.1,4.3,7.2,113.0,1.8,0.4,188.0,796,2014,133.01
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,28.7,4.6,6.7,12561.0,1.5,0.6,72.0,171,2014,1291.55
2305,R SHRIYA AT ANGADIMOGARU,KERALA,28.5,7.7,6.9,61.0,1.6,0.0,88.0,554,2014,86.4
2296,R THALLASSERY AT PATHIPPALAM,KERALA,26.6,5.8,6.5,61.0,1.0,0.4,70.0,151,2014,38.76
2292,R THIRUR AT THALAKKADATHUR BRIDGE,KERALA,31.0,4.5,6.9,1614.0,2.1,0.6,131.0,230,2014,212.65
2306,R UPPALA AT  UPPALA BR.,KERALA,30.5,6.9,7.2,20950.0,1.3,0.2,113.0,643,2014,2189.04
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,28.8,6.6,7.0,14487.0,0.9,0.3,55.0,103,2014,1474.27
1442,"VAMANAPURAM, KERALA",KERALA,25.3,6.9,7.5,54.0,0.6,0.0,319.0,1633,2014,238.35
1448,"NAGAVALLI AT THOTAPALLI REGULATOR, A.P.",ANDHRA PRADESH,25.9,5.5,7.6,569.0,1.3,0.9,18.0,141,2014,80.73
2352,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,26.5,5.4,7.8,310.0,0.8,2.4,7.0,107,2014,49.6
3080,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,18.9,7.1,7.8,516.0,0.7,0.5,2.0,1238,2014,192.72
3081,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH,20.5,6.9,8.0,505.0,0.9,0.7,2.0,1563,2014,227.66
1444,"KALI AT D/S WEST COAST PAPER MILL, KARNATAKA",KARNATAKA,27.1,7.3,7.3,109.0,2.4,3.4,18.0,65,2014,27.17
2780,"KALI AT U/S OF WCPM, DANDELI, KARNATAKA",KARNATAKA,26.3,7.5,7.5,83.0,2.1,2.0,22.0,74,2014,25.89
1894,KUMARADHARA NAN U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNATAKA,29.1,6.4,7.2,102.0,1.0,0.0,137.0,1223,2014,171.3
1892,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,28.4,6.5,7.1,92.0,1.0,0.0,155.0,1342,2014,185.99
2423,"BUDHABALANGA, D/S OF BARIPADA TOWN",ODISHA,24.7,7.7,7.9,232.0,1.3,0.8,30790.0,40500,2014,9102.42
2424,BUDHABALANGA AT BALASORE D/S,ODISHA,24.4,7.5,7.8,519.0,2.1,0.7,38700.0,53556,2014,11753.83
2425,"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",ODISHA,22.7,7.3,7.2,103.0,0.7,1.7,4871.0,13810,2014,2265.34
2422,"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ODISHA,24.8,7.4,7.9,196.0,0.7,0.6,5323.0,15213,2014,2497.06
1642,"NAGAVALLI AT JAYKAYPUR D/S, ODISHA",ODISHA,24.0,7.4,7.8,244.0,1.9,1.0,20880.0,12473,2014,4534.12
1643,"NAGAVALLI AT RAYAGADA D/S, ODISHA",ODISHA,22.8,7.5,8.0,243.0,1.7,0.9,8780.0,30319,2014,4681.89
1455,"RUSHIKULYA AT GANJAM U/S, ODISHA",ODISHA,26.8,7.2,8.0,296.0,1.5,0.7,1468.0,4314,2014,730.35
1456,"RUSHIKULYA AT GANJAM D/S, ODISHA",ODISHA,27.4,6.6,7.8,25034.0,1.5,0.9,1671.0,4224,2014,3224.72
2426,VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),ODISHA,25.3,7.5,7.9,194.0,1.0,1.0,2906.0,8559,2014,1402.55
2427,VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),ODISHA,27.1,7.4,7.9,170.0,0.8,0.9,4948.0,16709,2014,2603.16
1685,"ARASALAR RIVER KARAIKAL REGION, PONDICHERRY",PONDICHERRY,29.0,0.0,7.3,386.0,0.0,0.2,0.0,0,2014,43.7
2444,CORINGA RIVER,PONDICHERRY,25.0,5.9,7.9,21600.0,0.0,0.1,0.0,0,2014,2165.26
2442,GAUTAMINANGODAVARI RIVER,PONDICHERRY,25.0,6.5,7.3,21600.0,0.0,0.1,0.0,0,2014,2165.27
2443,GAUTAMINANGODAVARI RIVER,PONDICHERRY,25.0,6.5,7.7,26600.0,0.0,0.1,0.0,0,2014,2665.31
2445,MAHE RIVER,PONDICHERRY,32.0,6.0,7.1,13000.0,0.0,0.4,0.0,0,2014,1306.27
1450,"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNADU",TAMILNADU,29.3,6.5,7.4,1063.0,2.0,0.6,177.0,374,2014,180.31
1159,"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",TAMILNADU,22.8,6.8,6.6,63.0,2.9,0.1,11.0,36,2014,17.31
1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY,TAMILNADU",TAMILNADU,24.5,6.6,6.4,101.0,2.5,0.2,13.0,41,2014,22.11
1161,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE,TAMILNADU.",TAMILNADU,25.5,6.6,6.5,136.0,2.5,0.2,13.0,45,2014,26.21
1162,"TAMBIRAPARANI AT MURAPPANADU, TAMILNADU",TAMILNADU,29.0,6.7,6.9,226.0,2.2,0.2,12.0,38,2014,34.82
1328,"TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU",TAMILNADU,23.8,6.7,6.3,72.0,2.7,0.2,9.0,32,2014,17.55
1329,"TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM, TAMILNADU",TAMILNADU,22.8,6.7,6.4,61.0,4.6,0.1,10.0,34,2014,17.0
1330,"TAMBIRAPARANI AT ARUMUGANERI, TAMILNADU",TAMILNADU,29.0,6.6,7.2,1300.0,2.7,0.2,21.0,60,2014,146.09
3025,"TAMBIRAPARANI AT ERAL, THOTHUKUDI, TAMILNADU",TAMILNADU,29.0,6.7,7.0,461.0,2.5,0.1,17.0,51,2014,60.55
